Passed argument batch_size = auto:4.0. Detecting largest batch size
Determined largest batch size: 64
Passed argument batch_size = auto:4.0. Detecting largest batch size
Determined largest batch size: 64
Passed argument batch_size = auto. Detecting largest batch size
Determined Largest batch size: 64
hf (pretrained=/home/zhuxuekai/scratch2_nlp/scaling_law4AI_data/pre_training_results/GPT-2/dolma/epoch_5/epoch_4_steps_160280,trust_remote_code=True,trust_remote_code=True), gen_kwargs: (None), limit: None, num_fewshot: None, batch_size: auto:4 (64,64,64,64)
|                 Tasks                 |Version|Filter|n-shot|  Metric   |   | Value |   |Stderr|
|---------------------------------------|------:|------|-----:|-----------|---|------:|---|-----:|
|arc_challenge                          |      1|none  |     0|acc        |↑  | 0.1997|±  |0.0117|
|                                       |       |none  |     0|acc_norm   |↑  | 0.2321|±  |0.0123|
|arc_easy                               |      1|none  |     0|acc        |↑  | 0.4440|±  |0.0102|
|                                       |       |none  |     0|acc_norm   |↑  | 0.3906|±  |0.0100|
|boolq                                  |      2|none  |     0|acc        |↑  | 0.6098|±  |0.0085|
|hellaswag                              |      1|none  |     0|acc        |↑  | 0.2867|±  |0.0045|
|                                       |       |none  |     0|acc_norm   |↑  | 0.3067|±  |0.0046|
|logiqa2                                |      0|none  |     0|acc        |↑  | 0.2303|±  |0.0106|
|                                       |       |none  |     0|acc_norm   |↑  | 0.2634|±  |0.0111|
|mathqa                                 |      1|none  |     0|acc        |↑  | 0.2067|±  |0.0074|
|                                       |       |none  |     0|acc_norm   |↑  | 0.2034|±  |0.0074|
|mmlu                                   |      2|none  |      |acc        |↑  | 0.2289|±  |0.0035|
| - humanities                          |      2|none  |      |acc        |↑  | 0.2417|±  |0.0062|
|  - formal_logic                       |      1|none  |     0|acc        |↑  | 0.2698|±  |0.0397|
|  - high_school_european_history       |      1|none  |     0|acc        |↑  | 0.2182|±  |0.0323|
|  - high_school_us_history             |      1|none  |     0|acc        |↑  | 0.2500|±  |0.0304|
|  - high_school_world_history          |      1|none  |     0|acc        |↑  | 0.2700|±  |0.0289|
|  - international_law                  |      1|none  |     0|acc        |↑  | 0.2397|±  |0.0390|
|  - jurisprudence                      |      1|none  |     0|acc        |↑  | 0.2685|±  |0.0428|
|  - logical_fallacies                  |      1|none  |     0|acc        |↑  | 0.2270|±  |0.0329|
|  - moral_disputes                     |      1|none  |     0|acc        |↑  | 0.2457|±  |0.0232|
