Passed argument batch_size = auto:4.0. Detecting largest batch size
Determined largest batch size: 64
Passed argument batch_size = auto:4.0. Detecting largest batch size
Determined largest batch size: 64
Passed argument batch_size = auto. Detecting largest batch size
Determined Largest batch size: 64
hf (pretrained=/home/zhuxuekai/scratch2_nlp/scaling_law4AI_data/pre_training_results/GPT-2/mixdata/0.25/epoch_5/epoch_4_steps_160280,trust_remote_code=True,trust_remote_code=True), gen_kwargs: (None), limit: None, num_fewshot: None, batch_size: auto:4 (64,64,64,64)
|                 Tasks                 |Version|Filter|n-shot|  Metric   |   | Value |   |Stderr|
|---------------------------------------|------:|------|-----:|-----------|---|------:|---|-----:|
|arc_challenge                          |      1|none  |     0|acc        |↑  | 0.2014|±  |0.0117|
|                                       |       |none  |     0|acc_norm   |↑  | 0.2466|±  |0.0126|
|arc_easy                               |      1|none  |     0|acc        |↑  | 0.4394|±  |0.0102|
|                                       |       |none  |     0|acc_norm   |↑  | 0.4003|±  |0.0101|
|boolq                                  |      2|none  |     0|acc        |↑  | 0.6229|±  |0.0085|
|hellaswag                              |      1|none  |     0|acc        |↑  | 0.2917|±  |0.0045|
|                                       |       |none  |     0|acc_norm   |↑  | 0.3121|±  |0.0046|
|logiqa2                                |      0|none  |     0|acc        |↑  | 0.2137|±  |0.0103|
|                                       |       |none  |     0|acc_norm   |↑  | 0.2615|±  |0.0111|
|mathqa                                 |      1|none  |     0|acc        |↑  | 0.2184|±  |0.0076|
|                                       |       |none  |     0|acc_norm   |↑  | 0.2161|±  |0.0075|
|mmlu                                   |      2|none  |      |acc        |↑  | 0.2297|±  |0.0035|
| - humanities                          |      2|none  |      |acc        |↑  | 0.2429|±  |0.0062|
|  - formal_logic                       |      1|none  |     0|acc        |↑  | 0.2619|±  |0.0393|
|  - high_school_european_history       |      1|none  |     0|acc        |↑  | 0.2242|±  |0.0326|
|  - high_school_us_history             |      1|none  |     0|acc        |↑  | 0.2598|±  |0.0308|
|  - high_school_world_history          |      1|none  |     0|acc        |↑  | 0.2743|±  |0.0290|
|  - international_law                  |      1|none  |     0|acc        |↑  | 0.2397|±  |0.0390|
|  - jurisprudence                      |      1|none  |     0|acc        |↑  | 0.2778|±  |0.0433|
|  - logical_fallacies                  |      1|none  |     0|acc        |↑  | 0.2270|±  |0.0329|
|  - moral_disputes                     |      1|none  |     0|acc        |↑  | 0.2514|±  |0.0234|
|  - moral_scenarios                    |      1|none  |     0|acc        |↑  | 0.2380|±  |0.0142|
|  - philosophy                         |      1|none  |     0|acc        |↑  | 0.1833|±  |0.0220|
|  - prehistory                         |      1|none  |     0|acc        |↑  | 0.2160|±  |0.0229|
|  - professional_law                   |      1|none  |     0|acc        |↑  | 0.2458|±  |0.0110|
|  - world_religions                    |      1|none  |     0|acc        |↑  | 0.3216|±  |0.0358|
| - other                               |      2|none  |      |acc        |↑  | 0.2382|±  |0.0076|
|  - business_ethics                    |      1|none  |     0|acc        |↑  | 0.3000|±  |0.0461|
|  - clinical_knowledge                 |      1|none  |     0|acc        |↑  | 0.2189|±  |0.0254|
