Passed argument batch_size = auto:4.0. Detecting largest batch size
Determined largest batch size: 64
Passed argument batch_size = auto:4.0. Detecting largest batch size
Determined largest batch size: 64
Passed argument batch_size = auto. Detecting largest batch size
Determined Largest batch size: 64
hf (pretrained=/home/zhuxuekai/scratch2_nlp/scaling_law4AI_data/pre_training_results/GPT-2/mixdata/0.5/epoch_4_steps_160280,trust_remote_code=True,trust_remote_code=True), gen_kwargs: (None), limit: None, num_fewshot: None, batch_size: auto:4 (64,64,64,64)
|                 Tasks                 |Version|Filter|n-shot|  Metric   |   | Value |   |Stderr|
|---------------------------------------|------:|------|-----:|-----------|---|------:|---|-----:|
|arc_challenge                          |      1|none  |     0|acc        |↑  | 0.1945|±  |0.0116|
|                                       |       |none  |     0|acc_norm   |↑  | 0.2415|±  |0.0125|
|arc_easy                               |      1|none  |     0|acc        |↑  | 0.4402|±  |0.0102|
|                                       |       |none  |     0|acc_norm   |↑  | 0.3981|±  |0.0100|
|boolq                                  |      2|none  |     0|acc        |↑  | 0.6214|±  |0.0085|
|hellaswag                              |      1|none  |     0|acc        |↑  | 0.2949|±  |0.0046|
|                                       |       |none  |     0|acc_norm   |↑  | 0.3217|±  |0.0047|
|logiqa2                                |      0|none  |     0|acc        |↑  | 0.2258|±  |0.0105|
|                                       |       |none  |     0|acc_norm   |↑  | 0.2678|±  |0.0112|
|mathqa                                 |      1|none  |     0|acc        |↑  | 0.2137|±  |0.0075|
|                                       |       |none  |     0|acc_norm   |↑  | 0.2124|±  |0.0075|
|mmlu                                   |      2|none  |      |acc        |↑  | 0.2292|±  |0.0035|
| - humanities                          |      2|none  |      |acc        |↑  | 0.2425|±  |0.0062|
|  - formal_logic                       |      1|none  |     0|acc        |↑  | 0.2857|±  |0.0404|
|  - high_school_european_history       |      1|none  |     0|acc        |↑  | 0.2242|±  |0.0326|
|  - high_school_us_history             |      1|none  |     0|acc        |↑  | 0.2500|±  |0.0304|
|  - high_school_world_history          |      1|none  |     0|acc        |↑  | 0.2743|±  |0.0290|
|  - international_law                  |      1|none  |     0|acc        |↑  | 0.2397|±  |0.0390|
|  - jurisprudence                      |      1|none  |     0|acc        |↑  | 0.2685|±  |0.0428|
|  - logical_fallacies                  |      1|none  |     0|acc        |↑  | 0.2270|±  |0.0329|
|  - moral_disputes                     |      1|none  |     0|acc        |↑  | 0.2486|±  |0.0233|
|  - moral_scenarios                    |      1|none  |     0|acc        |↑  | 0.2380|±  |0.0142|
|  - philosophy                         |      1|none  |     0|acc        |↑  | 0.1833|±  |0.0220|
|  - prehistory                         |      1|none  |     0|acc        |↑  | 0.2099|±  |0.0227|
|  - professional_law                   |      1|none  |     0|acc        |↑  | 0.2464|±  |0.0110|
|  - world_religions                    |      1|none  |     0|acc        |↑  | 0.3216|±  |0.0358|
